id_analyse,nom_analyse,nom_prenom,nageur_sexe,competition_nom,mois_annee,distance_course,style_nage,round,temps_final,temps_reaction,temps_vol,temps_depart,DISTANCE_FIN_COULEE,LONGUEUR,TEMPS_FIN_COULEE,TEMPS_DE_PASSAGE
10522501,200 4 Nages Finale CF 2023 RENNES,TISSANDIE Camille,f,CF 2023 RENNES,2023-06,200,4 Nages,Finale,136.01,0.72,0.96,1.68,11.33;57.17;107.38;154.71,0;50;100;150,5.56;33.93;68.53;107.25,29.38;63.71;104.21;136.01
76323,200 Dos Finale CF 2015 LIMOGES,LESAFFRE Fantine,f,CF 2015 LIMOGES,2015-03,200,Dos,Finale,136.01,0.77,1.0,1.77,10.91;57.08;106.44;156.43,0;50;100;150,6.32;36.24;70.32;105.08,32.29;66.72;101.7;136.01
10513696,200 4 Nages Series OPEN DE FRANCE CHARTRES 2018,LESAFFRE Fantine,f,OPEN DE FRANCE CHARTRES 2018,2018-07,200,4 Nages,Series,136.02,0.75,1.06,1.81,12.41;57.76;109.76;156.92,0;50;100;150,6.09;34.43;71.9;108.29,29.3;64.86;103.78;136.02
10521573,200 4 Nages Series GFT 2023 NICE,DUHAMEL Cyrielle,f,GFT 2023 NICE,2023-03,200,4 Nages,Series,136.02,0.72,0.97,1.69,10.68;57.61;108.21;155.29,0;50;100;150,5.34;34.66;70.3;108.08,29.84;64.99;104.68;136.02
10519430,200 Brasse Series 2019 NATIONAL PHILLIPS CHAMPIONSHIP,MARC Antoine,m,2019 NATIONAL PHILLIPS CHAMPIONSHIP,2019-07,200,Brasse,Series,136.06,0.62,1.0,1.62,15.67;61.00;110.81;160.49,0;50;100;150,7.62;37.5;72.16;107.43,30.67;65.01;100.81;136.06
762858,200 4 Nages Finale CF 2016 MONTPELLIER,DUHAMEL Cyrielle,f,CF 2016 MONTPELLIER,2016-03,200,4 Nages,Finale,136.06,0.7,1.2,1.9,10.48;57.40;107.07;155.00,0;50;100;150,5.2;33.52;68.68;107.15,28.99;63.52;104.06;136.06
10520679,200 Dos Finale CF 2020 SAINT-RAPHAEL,COUSSON Bertille,f,CF 2020 SAINT-RAPHAEL,2020-12,200,Dos,Finale,136.07,0.56,0.75,1.31,11.38;57.77;106.78;156.69,0;50;100;150,6;35.12;69.06;103.93,31.3;65.75;100.67;136.07
762750,200 4 Nages Finale CPEM CHARTRES 2015,LESAFFRE Fantine,f,CPEM CHARTRES 2015,2015-08,200,4 Nages,Finale,136.07,0.79,1.11,1.9000000000000001,11.38;56.82;108.56;156.29,0;50;100;150,5.79;34.15;71.11;108.67,29.61;64.73;104.27;136.07
10515507,200 Papillon Finale CF 2022 LIMOGES,MEUTER Adelaide,f,CF 2022 LIMOGES,2022-04,200,Papillon,Finale,136.08,0.67,0.94,1.6099999999999999,12.99;58.23;108.54;157.92,0;50;100;150,6.51;36.15;71.86;106.89,31.06;66.49;102.08;136.08
10520411,200 Papillon Series CF 2020 SAINT-RAPHAEL,MARCHAND Juliette,f,CF 2020 SAINT-RAPHAEL,2020-12,200,Papillon,Series,136.08,0.65,0.97,1.62,13.94;58.57;108.65;158.15,0;50;100;150,6.94;36.32;70.98;105.64,30.79;65.9;100.47;136.08
10516537,200 Papillon Series CF 2021 CHARTRES,BORER Fanny,f,CF 2021 CHARTRES,2021-06,200,Papillon,Series,136.09,0.74,1.01,1.75,10.94;56.75;106.24;156.26,0;50;100;150,5.31;35.04;69.28;104.46,31.63;65.17;100.39;136.09
10520113,200 Dos Series MN 2022 CANET,MAHIEU Pauline,f,MN 2022 CANET,2022-05,200,Dos,Series,136.09,0.63,0.68,1.31,13.41;59.41;108.50;157.23,0;50;100;150,6.85;36.14;70;104.48,31.27;65.63;100.75;136.09
